age,gender,height,weight,attitude,prepare_hours,class_type,pass_rate,glasses,classhw,care,label
50,F,146,55,Free,5,Online,High,1,High,Yes,bad
29,F,151,40,Serious,1,Physical,High,0,Low,Yes,bad
63,F,169,42,Serious,4,Online,Low,1,Low,Yes,bad
58,M,166,84,Free,0,Physical,Low,1,Middle,Yes,bad
54,F,187,75,Serious,4,Online,Low,0,Low,No,bad
61,F,146,71,Serious,5,Physical,High,1,High,Yes,good
43,M,187,70,Serious,4,Physical,High,0,High,Yes,good
39,M,190,98,Free,2,Physical,High,1,Middle,Yes,bad
63,F,154,88,Serious,6,Physical,High,1,Low,Yes,good
26,M,183,67,Serious,3,Physical,Low,0,High,No,bad
44,M,184,66,Serious,2,Online,High,0,Middle,Yes,bad
56,F,153,64,Free,2,Physical,Low,0,Middle,No,bad
39,M,175,82,Serious,4,Physical,High,0,High,Yes,good
36,M,179,81,Free,6,Physical,High,1,Middle,Yes,bad
54,F,189,77,Free,3,Online,Low,1,High,No,bad
26,M,168,62,Serious,3,Physical,High,0,Low,Yes,good
64,M,171,77,Serious,2,Online,Low,1,High,Yes,bad
47,F,186,93,Serious,6,Physical,High,0,Low,Yes,good
63,M,179,49,Serious,5,Physical,High,1,Middle,Yes,good
59,F,157,63,Serious,3,Online,Low,0,Low,Yes,bad
64,M,168,75,Serious,3,Physical,High,1,High,Yes,good
37,M,141,92,Serious,6,Online,Low,0,Middle,No,bad
37,F,187,66,Serious,4,Physical,High,1,Low,Yes,good
39,F,144,59,Serious,3,Physical,High,0,Low,Yes,good
35,F,168,45,Free,0,Online,High,0,Middle,Yes,bad
64,M,160,56,Serious,6,Physical,High,1,Low,No,bad
58,M,180,89,Serious,3,Physical,High,1,Middle,Yes,good
31,F,187,87,Serious,6,Physical,High,1,Middle,Yes,good
59,F,189,57,Serious,4,Physical,High,1,Low,Yes,good
57,M,142,54,Serious,0,Physical,Low,1,High,No,bad
43,F,153,75,Serious,4,Physical,High,0,Low,Yes,good
26,M,179,52,Serious,5,Physical,High,1,High,Yes,good
48,F,157,53,Serious,4,Physical,High,0,Low,Yes,good
25,M,155,88,Serious,4,Physical,High,0,Low,Yes,good
63,M,169,79,Serious,6,Physical,High,1,Low,Yes,good
56,F,144,87,Serious,5,Physical,High,0,Middle,Yes,good
27,F,152,44,Free,1,Physical,Low,0,High,Yes,bad
63,F,190,48,Free,3,Physical,Low,0,High,Yes,bad
65,M,178,60,Serious,6,Physical,High,0,High,Yes,good
59,M,190,61,Serious,6,Physical,High,0,Middle,Yes,good
43,F,187,92,Serious,4,Physical,High,1,High,Yes,good
50,F,161,67,Serious,6,Physical,High,0,High,Yes,good
47,F,176,90,Serious,4,Online,High,1,Low,Yes,bad
31,F,179,79,Serious,3,Physical,High,0,High,Yes,good
38,F,153,71,Serious,5,Physical,High,1,High,Yes,good
40,F,167,60,Free,4,Physical,Low,1,Middle,No,bad
38,F,169,61,Serious,4,Physical,High,1,Low,Yes,good
34,M,140,56,Free,2,Physical,Low,1,High,Yes,bad
59,M,163,49,Serious,4,Physical,High,1,Low,Yes,good
60,F,187,82,Free,3,Physical,High,0,Middle,Yes,bad
56,M,178,80,Free,2,Physical,Low,0,Low,No,bad
31,F,153,94,Serious,5,Online,High,0,High,Yes,bad
59,M,165,42,Serious,6,Physical,High,0,Low,Yes,good
65,M,141,74,Serious,4,Physical,High,1,High,Yes,good
41,M,147,62,Serious,5,Physical,High,0,Middle,Yes,good
28,F,167,77,Serious,3,Physical,High,1,Low,Yes,good
45,M,153,75,Serious,1,Physical,Low,1,Low,No,bad
44,M,181,83,Serious,3,Physical,High,0,Middle,Yes,good
41,M,185,90,Serious,4,Physical,High,1,Low,Yes,good
48,F,145,45,Serious,4,Physical,High,0,High,Yes,good
48,F,150,94,Free,2,Online,Low,1,Middle,Yes,bad
62,M,177,63,Serious,5,Physical,High,1,High,Yes,good
43,M,154,98,Serious,5,Physical,High,0,Low,Yes,good
49,F,179,88,Serious,4,Online,Low,1,Middle,Yes,bad
60,F,185,69,Free,0,Physical,Low,0,Low,Yes,bad
44,M,178,80,Serious,3,Online,Low,1,Middle,No,bad
52,M,172,85,Serious,2,Online,High,1,Low,No,bad
61,F,167,57,Serious,3,Online,Low,0,High,Yes,bad
49,F,151,82,Serious,4,Physical,High,1,Middle,Yes,good
56,F,148,89,Serious,3,Online,High,1,High,Yes,bad
48,F,153,52,Serious,4,Physical,High,1,Middle,Yes,good
65,F,186,96,Serious,6,Physical,High,1,Middle,Yes,good
48,M,144,57,Serious,6,Online,Low,0,Low,No,bad
27,F,147,52,Serious,3,Physical,High,0,Low,Yes,good
49,M,179,90,Serious,5,Physical,High,0,High,Yes,good
32,F,164,97,Free,6,Physical,Low,1,High,Yes,bad
64,M,173,85,Serious,3,Physical,High,0,Low,Yes,good
61,M,158,100,Serious,6,Online,Low,0,Middle,Yes,bad
25,F,187,91,Free,1,Online,Low,1,Middle,No,bad
56,M,148,57,Free,5,Online,Low,0,High,Yes,bad
61,F,178,70,Serious,4,Physical,High,1,High,Yes,good
37,F,160,43,Serious,5,Physical,High,1,Low,Yes,good
40,F,184,51,Serious,6,Physical,High,0,Middle,Yes,good
42,M,175,43,Free,1,Online,High,1,High,Yes,bad
45,M,175,73,Serious,5,Physical,High,0,Middle,Yes,good
59,M,174,41,Serious,6,Physical,High,1,High,Yes,good
38,M,153,70,Free,6,Online,Low,1,High,No,bad
48,M,161,89,Free,0,Online,Low,1,Low,Yes,bad
56,M,164,49,Serious,2,Physical,High,1,Low,No,bad
54,M,145,100,Serious,6,Physical,High,1,High,Yes,good
32,F,151,96,Serious,6,Physical,High,0,Middle,Yes,good
40,M,159,80,Serious,5,Physical,High,0,Low,Yes,good
25,M,189,100,Serious,1,Online,High,1,Low,Yes,bad
46,F,177,56,Serious,4,Online,High,1,Middle,No,bad
50,M,189,61,Serious,3,Physical,High,1,Middle,Yes,good
48,F,163,92,Free,3,Online,Low,1,Middle,Yes,bad
32,M,149,56,Free,3,Online,High,0,Middle,Yes,bad
42,M,170,60,Serious,4,Physical,High,0,Low,Yes,good
28,F,172,82,Free,5,Online,Low,0,High,Yes,bad
58,F,188,57,Serious,5,Physical,High,0,Low,Yes,good
57,F,160,49,Serious,6,Physical,High,0,High,Yes,good
53,M,178,79,Serious,5,Physical,High,1,High,Yes,good
53,M,161,87,Serious,4,Physical,High,1,High,Yes,good
42,F,179,47,Serious,6,Physical,High,0,Low,Yes,good
54,F,157,46,Serious,5,Physical,High,1,Low,Yes,good
41,F,164,89,Serious,6,Physical,High,0,Low,Yes,good
34,M,165,93,Free,3,Online,Low,0,Middle,Yes,bad
39,F,148,90,Serious,6,Physical,High,1,Middle,Yes,good
54,M,153,89,Free,5,Online,Low,0,High,Yes,bad
26,M,166,89,Serious,5,Physical,High,0,Middle,No,bad
53,M,190,88,Serious,6,Physical,High,1,Low,Yes,good
53,F,143,98,Serious,4,Physical,High,1,Low,Yes,good
52,M,183,79,Serious,5,Physical,High,0,High,Yes,good
49,M,167,54,Free,1,Online,High,0,Middle,No,bad
60,F,140,71,Serious,3,Online,High,0,High,No,bad
65,F,181,73,Serious,1,Online,High,1,Low,No,bad
45,F,164,81,Free,2,Online,High,1,Middle,Yes,bad
55,F,173,88,Free,4,Physical,High,1,Low,Yes,bad
54,F,143,69,Serious,3,Physical,High,0,High,Yes,good
42,F,155,70,Serious,5,Physical,High,1,Low,Yes,good
26,F,170,94,Serious,4,Physical,High,0,High,Yes,good
54,F,166,66,Free,2,Physical,Low,0,Middle,Yes,bad
27,F,153,79,Serious,5,Physical,High,1,High,Yes,good
42,M,190,76,Serious,6,Physical,High,0,Low,Yes,good
43,M,159,79,Serious,3,Physical,High,1,Middle,Yes,good
30,F,175,63,Serious,6,Physical,High,0,Low,Yes,good
55,F,161,79,Free,4,Online,High,0,Middle,Yes,bad
33,M,142,94,Serious,4,Online,Low,0,Low,No,bad
29,F,156,100,Serious,4,Physical,High,0,Middle,Yes,good
29,M,183,55,Serious,4,Physical,High,1,High,Yes,good
64,F,189,47,Serious,5,Physical,High,1,Low,Yes,good
35,M,164,50,Serious,5,Physical,High,0,High,Yes,good
39,F,172,89,Serious,2,Online,High,1,High,Yes,bad
61,F,174,54,Serious,3,Physical,High,1,Middle,Yes,good
33,F,184,73,Serious,5,Physical,High,1,High,Yes,good
47,M,190,40,Serious,4,Physical,High,1,Middle,Yes,good
64,F,183,82,Serious,4,Physical,High,1,Low,Yes,good
38,M,164,47,Serious,6,Physical,High,1,High,Yes,good
50,M,169,45,Serious,2,Physical,High,1,Middle,Yes,bad
44,F,164,40,Free,3,Physical,High,1,Middle,Yes,bad
50,M,156,93,Free,4,Online,High,0,High,Yes,bad
44,F,177,83,Free,3,Physical,Low,1,Middle,Yes,bad
34,F,157,54,Free,1,Online,Low,1,Low,No,bad
34,F,182,96,Serious,6,Physical,High,1,High,Yes,good
55,F,186,100,Serious,3,Online,Low,0,Middle,No,bad
37,F,152,66,Serious,2,Online,High,0,High,Yes,bad
48,M,172,75,Serious,1,Online,High,0,High,No,bad
56,M,178,60,Serious,3,Physical,High,0,Low,Yes,good
39,M,170,69,Serious,3,Physical,High,1,Low,Yes,good
33,F,179,89,Serious,5,Physical,High,0,High,Yes,good
48,M,173,53,Free,5,Physical,Low,0,High,No,bad
59,F,163,48,Serious,3,Physical,High,0,Middle,Yes,good
36,F,149,72,Free,1,Physical,Low,0,Low,No,bad
26,F,143,86,Free,3,Online,High,1,Low,No,bad
33,F,167,87,Serious,5,Physical,High,1,Middle,Yes,good
25,M,188,45,Serious,5,Physical,Low,0,Middle,Yes,bad
28,M,178,52,Serious,1,Online,Low,1,Low,No,bad
29,F,153,70,Free,2,Online,High,0,Low,Yes,bad
60,M,167,83,Free,1,Online,Low,1,Middle,No,bad
64,F,141,73,Serious,5,Physical,High,1,Low,Yes,good
38,F,180,41,Serious,6,Physical,High,1,Middle,No,bad
44,M,141,88,Serious,0,Online,Low,0,High,Yes,bad
48,F,162,43,Serious,1,Physical,Low,1,Low,No,bad
48,M,190,64,Serious,5,Physical,High,0,High,Yes,good
48,F,184,63,Free,4,Online,High,0,Middle,Yes,bad
26,F,178,65,Serious,1,Physical,Low,0,Middle,Yes,bad
42,M,148,69,Serious,4,Physical,High,0,Low,Yes,good
58,F,188,69,Free,2,Physical,Low,1,High,No,bad
29,F,168,58,Serious,4,Physical,High,0,Low,Yes,good
41,M,156,56,Serious,3,Physical,High,0,Middle,Yes,good
57,M,145,45,Free,6,Online,Low,0,Low,Yes,bad
34,F,179,77,Serious,6,Physical,High,1,High,Yes,good
31,F,169,79,Serious,3,Physical,High,1,Low,Yes,good
26,F,142,92,Serious,6,Physical,Low,1,High,Yes,bad
30,F,168,47,Serious,3,Physical,High,0,Middle,Yes,good
38,M,143,59,Serious,4,Physical,High,1,Low,Yes,good
64,F,165,62,Serious,6,Physical,High,1,Low,Yes,good
46,F,162,70,Free,4,Physical,Low,0,Middle,Yes,bad
54,F,144,43,Serious,6,Physical,High,0,High,Yes,good
46,M,162,64,Serious,6,Online,High,0,Middle,No,bad
35,F,182,49,Serious,3,Physical,High,1,Middle,Yes,good
29,M,169,60,Serious,4,Physical,High,0,High,Yes,good
55,F,167,91,Serious,3,Physical,High,0,Middle,Yes,good
35,M,162,74,Free,6,Online,High,0,Low,Yes,bad
38,F,151,59,Serious,4,Physical,High,0,Middle,No,bad
65,M,140,48,Free,5,Physical,Low,0,Low,No,bad
57,F,153,85,Serious,0,Online,High,1,High,Yes,bad
47,F,173,81,Serious,4,Physical,High,1,High,Yes,good
43,M,145,59,Serious,4,Physical,High,0,Low,Yes,good
57,F,181,99,Free,4,Physical,High,0,Middle,Yes,bad
39,M,141,53,Serious,3,Physical,Low,0,High,Yes,bad
56,M,150,45,Serious,6,Physical,High,1,High,Yes,good
42,M,159,93,Serious,3,Physical,High,0,Low,Yes,good
31,F,154,50,Serious,0,Physical,High,0,Middle,Yes,bad
54,F,166,87,Serious,5,Online,High,1,High,No,bad
38,M,175,57,Serious,6,Physical,High,0,High,Yes,good
28,F,149,81,Serious,4,Physical,High,0,Middle,Yes,good
39,F,188,78,Serious,3,Physical,High,1,Middle,Yes,good
53,F,180,41,Free,2,Physical,High,1,High,Yes,bad
38,F,150,69,Serious,2,Physical,High,1,High,No,bad
47,M,189,53,Serious,5,Physical,High,0,High,Yes,good
36,M,187,74,Serious,6,Physical,High,0,Middle,Yes,good
57,M,156,69,Serious,4,Physical,High,1,Low,Yes,good
25,F,140,96,Serious,6,Physical,High,1,High,Yes,good
58,M,152,73,Serious,4,Physical,High,1,Low,No,bad
25,F,174,53,Serious,4,Online,Low,0,Low,Yes,bad
52,F,168,74,Serious,1,Physical,Low,1,High,Yes,bad
64,F,143,41,Serious,4,Physical,High,0,Low,Yes,good
41,M,148,84,Serious,4,Physical,High,0,High,Yes,good
55,M,168,96,Serious,4,Physical,High,1,Middle,Yes,good
51,M,161,72,Free,0,Online,High,1,Middle,Yes,bad
27,M,142,40,Free,4,Physical,Low,0,Low,No,bad
47,M,141,92,Serious,3,Physical,High,1,High,Yes,good
64,F,157,56,Serious,2,Online,High,1,High,No,bad
51,M,164,72,Serious,4,Online,Low,1,High,Yes,bad
58,F,141,40,Serious,5,Physical,High,1,Low,Yes,good
30,F,168,97,Serious,5,Physical,High,0,Middle,Yes,good
61,M,153,50,Free,6,Physical,High,0,High,No,bad
29,F,180,72,Serious,5,Physical,High,0,Low,Yes,good
47,M,157,54,Serious,3,Online,High,0,High,No,bad
58,M,186,84,Free,1,Physical,Low,1,Low,Yes,bad
31,M,141,92,Serious,5,Physical,High,0,Low,Yes,good
46,M,178,92,Serious,1,Physical,Low,1,High,Yes,bad
63,F,168,65,Free,0,Physical,Low,0,Middle,Yes,bad
29,M,147,94,Serious,4,Online,Low,1,Middle,No,bad
35,M,171,71,Serious,5,Physical,High,1,High,Yes,good
53,M,164,69,Serious,3,Physical,High,0,Middle,Yes,good
41,F,186,46,Serious,6,Physical,High,0,Low,Yes,good
30,F,149,46,Serious,0,Online,High,1,High,Yes,bad
58,F,181,82,Free,0,Online,High,1,High,No,bad
65,M,140,74,Free,6,Online,High,1,High,Yes,bad
65,F,187,57,Free,4,Physical,High,0,Low,No,bad
49,F,163,57,Serious,5,Online,Low,1,High,Yes,bad
37,M,178,60,Serious,5,Physical,High,0,High,Yes,good
25,F,157,88,Serious,5,Physical,High,1,Middle,Yes,good
37,F,172,78,Serious,3,Physical,High,0,Middle,Yes,good
48,F,155,71,Serious,5,Online,High,1,Middle,No,bad
62,M,178,69,Free,5,Online,Low,1,High,No,bad
56,F,187,50,Serious,4,Online,Low,0,High,Yes,bad
35,F,142,45,Serious,4,Physical,High,1,Middle,Yes,good
41,M,171,72,Free,3,Online,High,0,Middle,No,bad
50,M,188,47,Serious,6,Physical,High,0,Low,Yes,good
53,M,179,96,Serious,5,Physical,High,1,High,Yes,good
25,M,162,78,Serious,5,Physical,High,0,High,Yes,good
52,M,171,75,Serious,5,Online,High,0,Low,No,bad
43,M,183,78,Free,0,Online,High,0,Low,No,bad
38,F,140,44,Serious,4,Physical,High,1,Middle,Yes,good
64,F,148,51,Free,2,Online,Low,0,High,Yes,bad
56,M,172,63,Free,2,Online,Low,0,High,No,bad
65,M,185,88,Serious,0,Physical,Low,1,Low,Yes,bad
27,F,186,77,Serious,5,Online,Low,0,Low,Yes,bad
34,M,153,58,Free,5,Online,High,1,High,Yes,bad
47,M,143,83,Serious,5,Physical,High,1,High,Yes,good
58,M,152,66,Serious,6,Physical,High,0,Middle,Yes,good
54,M,147,40,Serious,3,Physical,High,0,High,Yes,good
64,F,173,73,Serious,5,Physical,High,1,High,Yes,good
33,F,183,53,Serious,6,Physical,High,0,High,Yes,good
63,M,157,99,Serious,5,Physical,High,1,Low,Yes,good
38,F,186,41,Free,6,Physical,Low,0,Low,No,bad
37,F,181,69,Serious,5,Physical,High,1,Middle,Yes,good
55,M,175,80,Serious,5,Physical,High,1,Low,Yes,good
45,F,178,75,Serious,4,Physical,High,0,Middle,Yes,good
58,M,186,41,Serious,4,Physical,High,1,Middle,Yes,good
43,F,160,67,Serious,4,Physical,High,0,Middle,Yes,good
44,M,142,70,Serious,3,Online,Low,1,High,No,bad
62,M,140,78,Serious,6,Physical,High,0,High,Yes,good
56,F,169,90,Free,3,Physical,Low,0,Middle,No,bad
52,F,170,75,Free,5,Online,Low,1,Low,No,bad
46,M,153,66,Serious,3,Online,High,0,Middle,Yes,bad
50,F,174,85,Serious,4,Physical,High,0,Middle,Yes,good
28,M,147,47,Serious,6,Online,Low,1,High,No,bad
50,M,156,84,Serious,5,Physical,High,0,Low,Yes,good
33,M,179,59,Serious,4,Physical,High,0,Middle,Yes,good
29,F,156,80,Serious,6,Online,Low,0,Middle,No,bad
31,F,190,45,Serious,6,Physical,High,0,Low,Yes,good
47,M,172,96,Serious,5,Physical,High,0,High,Yes,good
48,F,141,56,Serious,4,Online,High,0,Middle,No,bad
45,M,154,66,Serious,5,Physical,High,1,High,Yes,good
61,F,185,93,Serious,6,Online,High,1,Low,Yes,bad
29,F,159,71,Serious,1,Physical,High,0,High,Yes,bad
61,M,153,95,Free,4,Physical,High,0,High,Yes,bad
61,M,141,71,Serious,6,Online,High,1,High,No,bad
54,M,152,99,Serious,3,Physical,High,1,Low,Yes,good
27,M,170,83,Serious,4,Physical,High,0,High,Yes,good
63,F,151,78,Serious,3,Physical,High,1,High,Yes,good
50,M,190,99,Free,4,Online,High,1,Low,Yes,bad
51,F,161,93,Free,0,Online,Low,1,Middle,Yes,bad
47,M,178,86,Free,1,Online,High,1,Low,Yes,bad
33,F,177,43,Serious,3,Physical,High,1,Low,Yes,good
51,F,174,65,Serious,5,Physical,High,0,Low,Yes,good
64,F,150,85,Serious,4,Physical,High,1,High,Yes,good
36,M,146,50,Serious,3,Physical,High,0,High,Yes,good
43,M,181,72,Serious,1,Physical,High,0,Low,No,bad
42,M,188,43,Free,5,Physical,Low,1,High,Yes,bad
34,F,142,66,Serious,4,Physical,High,0,Middle,Yes,good
54,F,163,74,Serious,0,Online,High,1,Middle,Yes,bad
58,M,165,69,Free,6,Online,High,1,Middle,Yes,bad
41,F,148,70,Free,4,Online,High,1,High,Yes,bad
52,M,172,66,Free,1,Online,High,1,Low,Yes,bad
37,F,160,41,Free,0,Physical,High,0,Middle,Yes,bad
30,F,160,83,Free,1,Physical,High,0,High,Yes,bad
33,F,182,51,Serious,6,Physical,Low,0,Middle,No,bad
38,M,166,100,Serious,4,Physical,High,1,High,Yes,good
41,M,152,85,Serious,4,Online,Low,0,High,Yes,bad
28,F,178,69,Serious,6,Online,Low,0,Low,Yes,bad
28,F,166,40,Serious,3,Physical,High,0,Low,Yes,good
45,F,153,58,Free,6,Physical,Low,1,High,Yes,bad
39,M,190,83,Serious,6,Physical,High,1,Low,Yes,good
37,M,170,59,Free,2,Online,Low,0,Middle,No,bad
31,F,164,43,Serious,3,Physical,High,0,Middle,Yes,good
63,F,146,85,Serious,6,Physical,High,1,Low,Yes,good
46,F,157,84,Serious,0,Online,Low,1,High,Yes,bad
57,F,156,51,Serious,4,Physical,High,0,Low,Yes,good
45,F,148,45,Serious,4,Physical,High,1,High,Yes,good
28,F,162,93,Free,2,Online,High,1,High,Yes,bad
35,M,163,88,Serious,5,Physical,High,0,Low,Yes,good
33,F,184,65,Serious,3,Physical,High,0,Low,No,bad
48,M,145,70,Serious,3,Online,High,1,Middle,Yes,bad
59,F,179,61,Serious,4,Physical,High,1,Middle,Yes,good
33,M,189,63,Serious,5,Physical,High,0,High,Yes,good
26,M,159,74,Free,5,Online,Low,0,Low,No,bad
45,M,162,42,Serious,3,Physical,High,1,High,Yes,good
34,M,190,86,Serious,5,Physical,Low,0,Low,No,bad
57,M,150,62,Serious,5,Physical,High,1,Middle,Yes,good
63,F,174,40,Serious,2,Physical,Low,1,Low,No,bad
65,M,153,83,Serious,6,Physical,High,1,Low,Yes,good
35,F,182,55,Serious,3,Physical,High,1,Low,Yes,good
44,F,174,78,Serious,3,Physical,High,1,Low,Yes,good
43,F,187,62,Serious,3,Physical,High,0,Middle,Yes,good
41,M,150,88,Serious,5,Physical,Low,0,Low,Yes,bad
51,F,159,93,Serious,4,Physical,High,0,Low,Yes,good
53,F,182,40,Serious,4,Physical,High,1,Middle,Yes,good
57,F,150,80,Serious,1,Online,Low,0,Low,No,bad
60,F,168,97,Serious,5,Physical,High,1,Low,Yes,good
65,F,140,73,Serious,4,Online,High,1,Middle,Yes,bad
47,F,173,66,Serious,5,Physical,High,1,High,Yes,good
31,F,146,44,Serious,4,Physical,High,0,Low,Yes,good
44,M,165,95,Serious,4,Physical,High,0,Middle,Yes,good
35,M,160,70,Serious,6,Physical,High,0,Middle,Yes,good
59,F,180,53,Serious,4,Physical,High,1,Low,Yes,good
44,M,155,64,Serious,3,Physical,High,1,Middle,Yes,good
41,F,189,77,Serious,1,Online,Low,1,Low,No,bad
32,M,190,73,Serious,0,Online,High,1,Middle,Yes,bad
26,F,171,58,Serious,5,Physical,High,0,Middle,Yes,good
27,M,165,51,Serious,2,Physical,High,0,High,No,bad
25,M,144,68,Serious,5,Physical,High,0,Middle,Yes,good
56,F,149,58,Free,5,Physical,Low,1,Middle,No,bad
62,F,175,42,Serious,3,Physical,High,1,Low,Yes,good
47,F,173,60,Serious,4,Physical,High,0,Middle,Yes,good
33,M,170,69,Free,2,Online,Low,1,Middle,No,bad
37,F,159,82,Free,3,Physical,High,0,High,No,bad
58,M,142,62,Serious,2,Physical,Low,0,Middle,No,bad
26,M,188,56,Serious,6,Physical,High,0,High,Yes,good
63,F,154,45,Serious,3,Physical,High,1,Middle,Yes,good
47,F,167,70,Free,1,Online,Low,0,High,No,bad
61,F,152,58,Serious,4,Physical,High,0,High,Yes,good
